Вакансия,Зарплата,Тип
Требуется сотрудник охраны,22 000,Вакансии
Водитель служебного автобуса (не вакансия),з/п не ук,Резюме
Директор торговой точки,40 000,Резюме
Семейная пара в загородный дом,60 000,Вакансии
Продавец,30 000,Вакансии
Администратор/офис-менеджер,30 000,Резюме
Работа в такси на авто компании,60 000,Вакансии
Управляющий объектом,40 000,Резюме
Руководитель автохозяйства,40 000,Резюме
Старший объекта,30 000,Резюме
Монтажник связи,40 000,Вакансии
Ищу работу,з/п не ук,Резюме
"Тракторист, Машинист экскаватора, бульдозирист",40 000,Резюме
Любая работа рассмотрю все предложения,з/п не ук,Резюме
Рабочие. Разнорабочие,з/п не ук,Резюме
"Водитель, экспедитор, менеджер",4 000,Резюме
Повар-сушист Санкт-Петербург,45 000,Вакансии
Менеджер по продажам,45 000,Резюме
Продавец-кассир Санкт-Петербург,35 000,Вакансии
Продавец и рубщик мяса,26 000,Резюме
Водитель на Газели,з/п не ук,Резюме
Менеджер по персоналу,40 000,Резюме
Ищу вакансию грузчика разнорабочего с проживанием,з/п не ук,Резюме
Продавец кассир в гастроном,з/п не ук,Вакансии
Продавец-флорист,50 000,Вакансии
Поиске работы подработки грузчиком разнорабочим,з/п не ук,Резюме
Любая работа,40 000,Резюме
Водитель на легковом автомобиле,100 000,Вакансии
Вакансия маляра - отделочника,60 000,Вакансии
"Водитель кат. B, C, D, E. Свой м/а грузопас",з/п не ук,Резюме
"Водитель кат В, С",з/п не ук,Резюме
Администратор салона красоты,20 000,Резюме
Старшего мастера,35 000,Резюме
"Газорезчик, водитель кВ",з/п не ук,Резюме
Работа,30 000,Резюме
Электромонтажник,з/п не ук,Резюме
Маркировщик - маркировщица,35 000,Вакансии
Ищу работу (неполный рабочий день),з/п не ук,Резюме
Отделочник-универсал,1 500,Вакансии
Административная работа,70 000,Резюме
"Мастер по ремонту телефонов, планшетов, ноутбуков",25 000,Резюме
Строител,з/п не ук,Резюме
"Начальник склада, заместитель начальника склада",50 000,Резюме
"Юрист, юрисконсульт",40 000,Вакансии
Рассматриваю все варианты,з/п не ук,Резюме
Кузовщик + Арматура,з/п не ук,Резюме
Подработка,з/п не ук,Резюме
Охранник,45 000,Резюме
Уличная торговля у метро. Гибкий график,45 000,Вакансии
Экскурсовод,з/п не ук,Резюме
Музейный сотрудник,з/п не ук,Резюме
Менеджер по туризму,25 000,Резюме
Русский язык для иностранцев,650,Резюме
Ищу работу,1 000,Резюме
Приглашаем на вакансию официант,2 500,Вакансии
"Пекарь-продавец, сфера торговли",30 000,Резюме
Ищу подработку,1 500,Резюме
Водитель категории С,35 000,Вакансии
Ищу Работу,з/п не ук,Резюме
Ищу работу разнорабочим,20 000,Резюме
Ищу работу,30 000,Резюме
Водитель и рядом,з/п не ук,Резюме
Помощник менеджера,20 000,Резюме
Сварщик монтажник металлоконструкции,2 500,Резюме
"Администратор, продавец - консультант",з/п не ук,Резюме
Секретарь,20 000,Вакансии
Мастер маникюра,100,Резюме
Мастер приемщик металлолома,з/п не ук,Резюме
Аниматор в студию детского творчества,30 000,Вакансии
Плиточник,50 000,Резюме
Менеджер по работе с клиентами,40 000,Резюме
Торговый сотрудник,25 000,Резюме
"Мастер смр, бригадир",30 000,Резюме
Уборщица вахтер,20 000,Резюме
Сиделка,180,Резюме
Менеджер/ помощник менеджера по туризму,з/п не ук,Резюме
Ищу работу,з/п не ук,Резюме
Помощник юриста,з/п не ук,Резюме
Хочу роботет,1 500,Резюме
Сопровождающая няня,250,Резюме
В поиске работы,40 000,Резюме
Бармен (кассир),25 000,Резюме
Руководитель,120 000,Резюме
Ищу работу водитель,з/п не ук,Резюме
"Дизайнер интерьера, художник",40 000,Резюме
Повар,з/п не ук,Резюме
Повар помощник повара,з/п не ук,Резюме
Слесарь,з/п не ук,Резюме
Специалист по работе с детьми,40 000,Вакансии
Консультант проката Сигвеев и велосипедов,3 000,Вакансии
Водитель,45 000,Резюме
Продавец - оценщик в магазин техники,26 000,Вакансии
Приглашаем на работу продавцов,50 000,Вакансии
Продавец консультант женской одежды т. ц. Галерея,22 000,Вакансии
"Администратор, Ст. Официант",40 000,Резюме
Требуется домработница,30 000,Вакансии
Ученик столяра,30 000,Вакансии
Нуждаюсь,30 000,Резюме
Крупная компания Get taxi набирает водителей,120 000,Вакансии
Главный бухгалтер,з/п не ук,Резюме
Мерчендайзер в ночь,2 000,Резюме
Ассистент стоматолога,з/п не ук,Резюме
"Администратор, диспетчер, курьер",20 000,Резюме
Подработка,з/п не ук,Резюме
Представитель компании,54 000,Вакансии
Помощник по отделке / строительству,з/п не ук,Резюме
