Вакансия,Зарплата,Тип
Повар горячего цеха,45 000,Вакансии
Повар холодного цеха,45 000,Вакансии
Каменщик,60 000,Резюме
Мясник,35 000,Вакансии
Медицинская сестра цсо,36 000,Вакансии
Главный бухгалтер,Зарплата не ук,Резюме
Уборщица в офис,Зарплата не ук,Резюме
Инженер-проектировщик систем пожаротушения,Догов,Резюме
Администратор. Хостес. Консультант,25 000,Резюме
Продовец кассир,2 000,Резюме
Грузчик-разнорабочий,250,Резюме
Уборка,1 000,Резюме
Ищу работу,Зарплата не ук,Резюме
Ассистент (помощник) предпринимателя,20 000,Вакансии
Сварщик. Сантехник. Ищу работу,Зарплата не ук,Резюме
"Ремонт домов, коттеджей, дач, бань под ключ",1 000,Резюме
Продавец Хозяйка,1 200,Вакансии
Преподаватель (репетитор) немецкого языка,1 000,Резюме
"Преподаватель живописи, рисунка, дпи",Зарплата не ук,Резюме
Администратор-кассир,1 700,Вакансии
Водитель на своем Скания фургон-реф,6 000,Резюме
Комплектовщица на овощную базу,65 000,Вакансии
Плотник-столяр,40 000,Вакансии
Мастер на час,600,Резюме
Бухгалтер,35 000,Резюме
Требуется водитель на газель (ежедневный расчет),85 000,Вакансии
Ищу халтуру,1 500,Резюме
Водитель такси,80 000,Вакансии
Бухгалтер-удаленный доступ,10 000,Резюме
Требуется парикмахер,20 000,Вакансии
Требуется мастер маникюра и педикюра,30 000,Вакансии
"Водитель со своим авто 1,5т",Зарплата не ук,Резюме
Водитель такси Таксфон без комиссии,100 000,Вакансии
Продавец,Зарплата не ук,Резюме
"Водитель на авто(Колпино,Динамо,Славянка)",2 800,Вакансии
Няня,150,Резюме
Водитель Такси На Авто компании (Зеленый Авто),50 000,Вакансии
"Грузчик,подсобник,разнорабочий",1 198,Резюме
Горничная,25 000,Вакансии
"Администратор, оператор",25 000,Резюме
Требуются водители самосвалов,70 000,Вакансии
Тракторист,38 000,Резюме
Вечерняя уборщица,10 000,Резюме
Бухгалтер,5 000,Резюме
Продавец кассир,35 000,Резюме
Водитель-курьер,2 000,Резюме
Водитель такси. Топливо 50\50 (м.Купчино),85 000,Вакансии
Массажистка,1 800,Резюме
Установщик межкомнатных дверей,1 500,Резюме
Помощник по хозяйству,Зарплата не ук,Резюме
"Зам. начальника по эксплуатации, главный механик",50 000,Резюме
Специалист технический,70 000,Вакансии
Кассир продавец,25 000,Резюме
Водитель такси,45 000,Вакансии
Аниматоры,2 000,Вакансии
Бухгалтер,35 000,Резюме
Водитель м.Парнас (а/м не выделяется),100 000,Вакансии
Мастер для ремонта квартиры,75 000,Вакансии
"Электромонтажник, электрик, электромонтер",60 000,Резюме
Мерчендайзер - грузчик,20 000,Резюме
Продавец с ежедневными выплатами,2 000,Резюме
Бригада для ремонта квартиры,9 000,Резюме
Диспетчер-логист,40 000,Вакансии
"Кузовщик, маляр",Зарплата не ук,Вакансии
"Модельер-технолог швейного производства-кожа,сумки",Зарплата не ук,Вакансии
Мастер по проведению аппаратного массажа,25 000,Вакансии
Менеджер по продажам,40 000,Вакансии
Сиделка,60 000,Вакансии
Администратор фитнес-клуба,30 000,Резюме
"Фрилансер, Веб-разработчик",15 000,Резюме
Администратор,30 000,Резюме
Грузчики в поиске халтуры,248,Резюме
Повар,2 000,Вакансии
Водитель со своим пассажирским микроавтобусом,650,Резюме
Водитель такси на своем или нашем а/м,60 000,Вакансии
"Продавец, бармен, пекарь",1 500,Резюме
Ассистент врача стоматолога,Зарплата не ук,Вакансии
Парикмахер-универсал,40 000,Вакансии
Водитель автопогрузчика,30 000,Резюме
Мастер кладовщик,32 000,Вакансии
"Охранник,сторож,вахтер,контролер",25 000,Резюме
Буфетчица,26 000,Вакансии
Фрезеровщик,45 000,Резюме
"Пересчет товара в гипермаркете (ночь1, 3, 5.02)",4 200,Вакансии
Водитель такси(авто в аренду),60 000,Вакансии
Водитель такси VW Polo (м.Ладожская) график 1/2,55 000,Вакансии
Няня-домахозяка,30 000,Вакансии
Промоутеры,Зарплата не ук,Резюме
Официант(официантка),22 000,Вакансии
Ищем администратора,25 000,Вакансии
Водитель категории Е,80 000,Вакансии
Агент Uber/Яндекс,80 000,Вакансии
Промышленный альпинист,6 000,Резюме
Промоутер,Зарплата не ук,Вакансии
На своем легковом автомобиле,Зарплата не ук,Резюме
Гипсокартонщики,Зарплата не ук,Резюме
Мастер-универсал,55 000,Резюме
Бригада разнорабочих славяне,1 300,Резюме
Подработка на выходные,Зарплата не ук,Резюме
Водитель такси на авто компании,90 000,Вакансии
Бухгалтер,30 000,Резюме
Рестоврация,Зарплата не ук,Резюме
"Банкетный Менеджер, Менеджер продажам",50 000,Резюме
Без опыта,Зарплата не ук,Резюме
Водитель,Зарплата не ук,Резюме
Охранник,Зарплата не ук,Резюме
Врач стоматолог ортопед,Догов,Вакансии
Продавец разливного пива,25 000,Резюме
Водитель Курьер,35 000,Вакансии
Массаж,1 500,Резюме
Парикмахер,Зарплата не ук,Вакансии
Затяжчик верха обуви,Зарплата не ук,Резюме
"Механик,мастер",45 000,Резюме
Водитель категории В С,50 000,Резюме
Охранник в офис,Зарплата не ук,Резюме
Водитель такси на авто компании,62 000,Вакансии
Менеджер по продажам,40 000,Вакансии
Консультант,Зарплата не ук,Резюме
Водитель такси,80 000,Вакансии
Водитель-экспедитор (м. Международная),78 000,Вакансии
Курьер по доставке еды,1 000,Вакансии
Водитель такси. Топливо 50\50 (м.Балтийская),75 000,Вакансии
Кассир в супермаркет,32 000,Вакансии
Водитель такси VW Polo (м. ул. Дыбенко) график 1/3,50 000,Вакансии
Швея,33 000,Вакансии
Главный бухгалтер (возможно по мсфо),Зарплата не ук,Резюме
"Аудит, восстановление учета и отчетности",Зарплата не ук,Резюме
