Вакансия,Зарплата,Тип
Уборщица,800,Вакансии
Промоутер,20 000,Вакансии
Разнорабочий на стройку,25 000,Вакансии
Монтажник опалубки,50 000,Вакансии
Бетонщик,50 000,Вакансии
Мастер механического цеха (старший наладчик),50 000,Вакансии
Технолог-программист по механ. обработке металлов,60 000,Вакансии
Наладчик-оператор станков с чпу,46 000,Вакансии
Оператор станка с чпу,36 000,Вакансии
Арматурщик,50 000,Вакансии
Повар в детский сад,24 000,Вакансии
Офис менеджер,20 000,Вакансии
Офис менеджер,30 000,Резюме
Сварщик-аргонщик,36 000,Вакансии
Работа в такси,100 000,Вакансии
Банковская карта,з/п не ук,Резюме
Водитель,250 000,Вакансии
Менеджер по продажам,50 000,Вакансии
Требуется бригадир / рекрутер,2 000,Вакансии
Юрист,з/п не ук,Резюме
Мастер маникюра,30 000,Резюме
"Водитель кат, B",60 000,Резюме
Парикмахер-универсал,з/п не ук,Вакансии
Ученик мотомеханика,з/п не ук,Резюме
Требуется мастер по шиномонтажу,50 000,Вакансии
Преподаватель музыки,10 000,Вакансии
Администратор,з/п не ук,Резюме
В ремонтную организацию требуется прораб/мастер,35 000,Вакансии
Требуются мойщики с опытом работы,25 000,Вакансии
Шелкограф,40 000,Резюме
Ищу работу,1 000,Резюме
"Грузчики, разнорабочие",1 300,Резюме
Личный водитель в компанию,75 000,Вакансии
Продавец,1 000,Вакансии
Разнорабочий,з/п не ук,Резюме
Менеджер по продаже автомобилей,80 000,Вакансии
Водитель категории В,64 000,Вакансии
Ищу работу на личном грузовом авто,з/п не ук,Резюме
Снабженец,45 000,Резюме
Ищу работу/подработку по специальности в свободное,10 000,Резюме
Водитель оби,з/п не ук,Вакансии
"Инженер связи, техник связи, специалист it",60 000,Резюме
Водитель все категории,100,Резюме
Кассир оператор в гипермаркет в разные р-ны города,28 000,Вакансии
Бармен,21 000,Вакансии
Специалист по продаже новостроек,70 000,Вакансии
Администратор,25 000,Резюме
Водитель категория B,з/п не ук,Резюме
Парикмахер-универсал,30 000,Резюме
Курьер,з/п не ук,Вакансии
"Секретарь, администратор, помощник",з/п не ук,Резюме
Ищу подработку на выходные,2 000,Резюме
Контент-менеджер,29 000,Резюме
Продавец молочной продукции,1 200,Вакансии
"Начальник охраны, администратор",35 000,Резюме
Сборщик-монтажник наружной рекламы,35 000,Вакансии
Водитель автобетоносмесителя категории С,40 000,Резюме
Менеджер по логистике,50 000,Резюме
Официант,45 000,Резюме
Водитель на грузовом автомобиле 1-3 тонны,130 000,Вакансии
Водитель,50 000,Резюме
Грузчик,40 000,Вакансии
Ищу работу Маляр штукатур,45 000,Резюме
Бухгалтер,20 000,Резюме
Мойщица посуды в ресторан. Разные районы,22 000,Вакансии
Подсобный разнорабочий,з/п не ук,Резюме
"Бармены, официанты, повара",з/п не ук,Вакансии
Диспетчер,20 000,Вакансии
Продавец-кассир в тк Родео Драйв магазин funday,26 400,Вакансии
Кассир в магазин Fun Day (тк Лето),23 000,Вакансии
Продавец-кассир,25 000,Вакансии
"Курьер, водитель",300,Резюме
"""Бухгалтер"", ""Менеджер"", ""Кассир"", ""Оператор пк""",35 000,Резюме
Помощник гипа,40 000,Вакансии
Замерщик по мягкой мебели,60 000,Вакансии
Ищу подработку массажисткой/парикмахером,20 000,Резюме
Аренда авто для такси,90 000,Вакансии
Массажистка/ парикмахер,25 000,Резюме
Секретарь,35 000,Резюме
Кондитер,12 000,Резюме
Пекарь,10 000,Резюме
Торговый представитель,12 000,Резюме
"Руководитель, помощник руководителя",260 000,Резюме
Официант,15 000,Резюме
Мойщица,15 000,Резюме
Тайный покупатель,1 500,Резюме
Пекарь (м. Василеостровская/Спортивная),29 000,Вакансии
Продавец-консультант,1 000,Вакансии
Специалист по приемке товара (м. Горьковская),27 000,Вакансии
Водитель курьер,30 000,Резюме
Столяр-краснодеревщик,з/п не ук,Резюме
Менеджер по работе с клиентами (дизайнер),13 000,Вакансии
Офис-менеджер,25 000,Вакансии
Кладовщик-комплектовщик грузчик (растения),27 000,Вакансии
"Автослесарь, автомеханик, автоэлектрик, диагност",30 000,Резюме
Оператор Call центра в интернет магазин (менеджер),25 000,Вакансии
Аквагримёр,1 000,Резюме
Инженер пто,з/п не ук,Резюме
Персональный водитель руководителя. офисный. есть,з/п не ук,Резюме
Ведущий менеджер по сетевым продажам,45 000,Вакансии
Торговый представитель в Санкт-Петербурге,40 000,Вакансии
Ищю работу,з/п не ук,Резюме
"Администратор, Менеджер",з/п не ук,Резюме
Оператор Call-Центра,30 000,Вакансии
Менеджер по продажам в Салон сантехники,25 000,Вакансии
Повар сушист,з/п не ук,Резюме
Дизайнер интерьера,з/п не ук,Резюме
Требуется администратор в гостиницу,20 000,Вакансии
Сиделка,1 700,Резюме
Помощник руководителя,60 000,Резюме
Мастер ремонт телефона iPhoen,з/п не ук,Резюме
"Графический дизайнер, дизайн макетов",500,Резюме
Главный бухгалтер,50 000,Вакансии
Официант,30 000,Резюме
Продавец орехов и сухофруктов,з/п не ук,Вакансии
"Разнорабочий, подсобный рабочий",25 000,Вакансии
Водитель такси,50 000,Вакансии
Администратор,25 000,Резюме
Бухгалтер в фирму (транспортные услуги),10 000,Резюме
"Администратор, помощник, Банк Клиент",10 000,Резюме
"Уборщик, уборщица помещений",30 000,Вакансии
Помощник оперативного дежурного,40 000,Вакансии
Охранники с Лицензией на Строительные объекты,з/п не ук,Вакансии
Водитель такси,35 000,Вакансии
Архитектор,25 000,Резюме
Старший продавец,30 000,Вакансии
Сиделка с проживанием,20 000,Резюме
Ищем энергичного продавца,38 500,Вакансии
Управляющий,50 000,Вакансии
Экспедитор-грузчик,з/п не ук,Резюме
Массажистка,500,Резюме
Педагог -психолог,30 000,Резюме
"Пекарь на м. ""Парк Победы""",1 150,Вакансии
Администратор,20 000,Резюме
Работница в творческую мастерскую,25 000,Вакансии
Администратор ресторана,35 000,Вакансии
Повар,25 000,Вакансии
Главный бухгалтер,40 000,Резюме
Менеджер по туризму,30 000,Резюме
"Секретарь, делопроизводитель, рекрутер",25 000,Резюме
"На постоянную работу требуются монтажники, ученики",60 000,Вакансии
Промоутеры. Оплата на месте,1 200,Вакансии
Ищу работу с поездками в Финляндию,999,Резюме
Водителе кат всд стаж 6лет,з/п не ук,Резюме
"Торговый представитель, Менеджер по работе с клиен",40 000,Резюме
Отделка,з/п не ук,Резюме
Тренер,20 000,Резюме
Инженер-проектировщик,40 000,Резюме
Ассистент врача стоматолога,35 000,Вакансии
Прораб/Мастер смр,40 000,Резюме
"Продавец-кассир на азс (ул. Возрождения, 36)",25 000,Вакансии
Инженер пто,40 000,Резюме
Плиточник,40 000,Резюме
Повар- универсал,35 000,Резюме
Монтажник натяжных потолков,50 000,Вакансии
Экономист,25 000,Резюме
Менеджер по туризму,35 000,Вакансии
"Помощник юриста, риелтор, агент",30 000,Вакансии
Рассмотрю все варианты,25 000,Резюме
Подработка,1 000,Резюме
Мойщица посуды. Центральный район,22 500,Вакансии
"Помощник руководителя, заместитель, администратор",80 000,Резюме
"Водитель категории В, С, E",35 000,Резюме
Администратор,35 000,Резюме
Инженер,35 000,Резюме
Техник по световому оборудованию,40 000,Резюме
Работа Кассиром в Пушкине и Петергофе,1 300,Вакансии
Массаж не медецинский,2 100,Резюме
Водитель на развозку хлеба,40 000,Вакансии
Ищу работу/ стажировку,з/п не ук,Резюме
Мойщица посуды,18 000,Вакансии
Сестра цсо,27 000,Вакансии
"Подсобник, разнорабочий, подсобный рабочий",1 500,Резюме
Инженер-эфира,з/п не ук,Резюме
Ассистент Стоматолога,30 000,Вакансии
Подсобник Разнорабочий,1 200,Вакансии
Менеджер по продажам,50 000,Вакансии
Корневщица,18 000,Вакансии
Слесарь сборщик м/к,50 000,Резюме
"Ищу постоянную работу, рассмотрю любые вар-ты",18 000,Резюме
Водитель такси. Авто на выкуп,55 000,Вакансии
Парикмахер универсал,40 000,Вакансии
3D Визуализатор,300,Резюме
Слесарь-сантехник,35 000,Резюме
